"Player","League_from","League_to","Fee","Season"
"Geoffrey Kondogbia","Serie A","LaLiga","19.8","18-19"
"Ricardo Pereira","Liga NOS","Premier League","19.8","18-19"
"Diogo Dalot","Liga NOS","Premier League","19.8","18-19"
"Moussa Dembélé","Premiership","Ligue 1","19.8","18-19"
"Mariano Díaz","Ligue 1","LaLiga","19.35","18-19"
"Samu Castillejo","LaLiga","Serie A","19.17","18-19"
"Dominic Solanke","Premier League","Premier League","19.08","18-19"
"Caglar Söyüncü","Bundesliga","Premier League","18.99","18-19"
"Quincy Promes","Premier Liga","LaLiga","18.9","18-19"
"Jonny Otto","LaLiga","Premier League","18.9","18-19"
"Lucas Digne","LaLiga","Premier League","18.18","18-19"
"Marek Hamsik","Serie A","Super League","18","18-19"
"Rodri","LaLiga","LaLiga","18","18-19"
"Andriy Yarmolenko","Bundesliga","Premier League","18","18-19"
"Thomas Delaney","Bundesliga","Bundesliga","18","18-19"
"Terence Kongolo","Ligue 1","Premier League","18","18-19"
"Gerard Moreno","LaLiga","LaLiga","18","18-19"
"Willem Geubbels","Ligue 1","Ligue 1","18","18-19"
"Rolando Mandragora","Serie A","Serie A","18","18-19"
"Axel Witsel","Super League","Bundesliga","18","18-19"
"Adama Traoré","Championship","Premier League","18","18-19"
"Benjamin Henrichs","Bundesliga","Ligue 1","18","18-19"
"Talisca","Liga NOS","Super League","17.28","18-19"
"Amadou Haidara","Bundesliga","Bundesliga","17.1","18-19"
"Duje Caleta-Car","Bundesliga","Ligue 1","17.1","18-19"
"Alireza Jahanbakhsh","Eredivisie","Premier League","17.1","18-19"
"Diego Laxalt","Serie A","Serie A","17.1","18-19"
"Paulinho","Série A","Bundesliga","16.65","18-19"
"Duván Zapata","Serie A","Serie A","16.65","18-19"
"Arturo Vidal","Bundesliga","LaLiga","16.2","18-19"
"Karl Toko Ekambi","Ligue 1","LaLiga","16.2","18-19"
"Rui Patrício","Liga NOS","Premier League","16.2","18-19"
"Mohamed Elyounoussi","SSL","Premier League","16.2","18-19"
"Justin Kluivert","Eredivisie","Serie A","15.53","18-19"
"Brahim Díaz","Premier League","LaLiga","15.3","18-19"
"Emiliano Sala","Ligue 1","Premier League","15.3","18-19"
"Yves Bissouma","Ligue 1","Premier League","15.21","18-19"
"Ben Gibson","Championship","Premier League","15.21","18-19"
"Alfie Mawson","Championship","Premier League","15.17","18-19"
"Ahmed Musa","Premier League","Professional League","14.85","18-19"
"William Carvalho","Liga NOS","LaLiga","14.4","18-19"
"Sokratis","Bundesliga","Premier League","14.4","18-19"
"Kévin Gameiro","LaLiga","LaLiga","14.4","18-19"
"Daley Blind","Premier League","Eredivisie","14.4","18-19"
"Nordi Mukiele","Ligue 1","Bundesliga","14.4","18-19"
"Sebastian Rudy","Bundesliga","Bundesliga","14.4","18-19"
"Leonardo Balerdi","Superliga","Bundesliga","13.95","18-19"
"Joaquín Correa","LaLiga","Serie A","13.77","18-19"
"Grégoire Defrel","Serie A","Serie A","13.5","18-19"
"João Carvalho","Liga NOS","Championship","13.5","18-19"
"Matheus Cunha","SSL","Bundesliga","13.5","18-19"
"Mouctar Diakhaby","Ligue 1","LaLiga","13.5","18-19"
"Diego Rico","LaLiga","Premier League","13.5","18-19"
"Wilmar Barrios","Superliga","Premier Liga","13.5","18-19"
"Tetê","Série A","Premier Liga","13.5","18-19"
"Roger Martínez","Super League","LaLiga","13.41","18-19"
"Giorgian de Arrascaeta","Série A","Série A","13.32","18-19"
"Xherdan Shaqiri","Championship","Premier League","13.23","18-19"
"Gonzalo Martínez","Superliga","MLS","13.05","18-19"
"Rodolfo Pizarro","Liga MX Clausura","Liga MX Clausura","13.05","18-19"
"Filip Benkovic","1.HNL","Premier League","13.05","18-19"
"Nikola Kalinic","Serie A","LaLiga","13.05","18-19"
"Ibrahim Amadou","Ligue 1","LaLiga","12.96","18-19"
"Mattia Perin","Serie A","Serie A","12.78","18-19"
"Diogo Jota","LaLiga","Premier League","12.6","18-19"
"Daniel Ginczek","Bundesliga","Bundesliga","12.6","18-19"
"Danny Ward","Premier League","Premier League","12.6","18-19"
"Jean-Eudes Aholou","Ligue 1","Ligue 1","12.6","18-19"
"Rachid Ghezzal","Ligue 1","Premier League","12.6","18-19"
"Diego Lainez","Liga MX Clausura","LaLiga","12.6","18-19"
"Dusan Tadic","Premier League","Eredivisie","12.33","18-19"
"Chris Mepham","Championship","Premier League","12.24","18-19"
"Joris Gnagnon","Ligue 1","LaLiga","12.15","18-19"
"Davy Klaassen","Premier League","Bundesliga","12.15","18-19"
"Benik Afobe","Premier League","Championship","12.15","18-19"
"Maximiliano Meza","Superliga","Liga MX Clausura","11.84","18-19"
"Gerard Deulofeu","LaLiga","Premier League","11.7","18-19"
"Mbaye Diagne","Süper Lig","Süper Lig","11.7","18-19"
"Matej Vydra","Championship","Premier League","10.98","18-19"
"Jeison Murillo","Serie A","LaLiga","10.8","18-19"
"Nacer Chadli","Championship","Ligue 1","10.8","18-19"
"M'Baye Niang","Serie A","Serie A","10.8","18-19"
"Mitchell Weiser","Bundesliga","Bundesliga","10.8","18-19"
"Willy Boly","Liga NOS","Premier League","10.8","18-19"
"Marcelo Saracchi","Superliga","Bundesliga","10.8","18-19"
"Mikel Merino","Premier League","LaLiga","10.8","18-19"
"Vitinho","Premier Liga","Série A","10.8","18-19"
"Kévin Malcuit","Ligue 1","Serie A","10.8","18-19"
"Josef","Süper Lig","Professional League","10.8","18-19"
"Nemanja Radonjic","Super liga","Ligue 1","10.8","18-19"
"Sardar Azmoun","Premier Liga","Premier Liga","10.8","18-19"
"Manolo Gabbiadini","Premier League","Serie A","10.71","18-19"
"Soualiho Meïté","Ligue 1","Serie A","10.35","18-19"
"Benik Afobe","Premier League","Premier League","10.26","18-19"
"Josh Murphy","Championship","Premier League","10.26","18-19"
"Bobby Reid","Championship","Premier League","10.22","18-19"
"David Brooks","Championship","Premier League","10.17","18-19"
"Angus Gunn","Premier League","Premier League","10.17","18-19"
"Tom Ince","Premier League","Championship","10.08","18-19"
"Santiago Arias","Eredivisie","LaLiga","9.9","18-19"
"Gianluca Lapadula","Serie A","Serie A","9.9","18-19"
"Suat Serdar","Bundesliga","Bundesliga","9.9","18-19"
"Fodé Ballo-Touré","Ligue 1","Ligue 1","9.9","18-19"
"Ozan Kabak","Süper Lig","Bundesliga","9.9","18-19"
"Cheikhou Kouyaté","Premier League","Premier League","9.63","18-19"
"Armando Izzo","Serie A","Serie A","9.63","18-19"
"Yoshinori Muto","Bundesliga","Premier League","9.63","18-19"
"Víctor Dávila","Liga MX Clausura","Liga MX Clausura","9.54","18-19"
"Orbelín Pineda","Liga MX Clausura","Liga MX Clausura","9.5","18-19"
"Giuliano","Süper Lig","Professional League","9.45","18-19"
"Valentino Lazaro","Bundesliga","Bundesliga","9.45","18-19"
"Wout Weghorst","Eredivisie","Bundesliga","9.45","18-19"
"Francesco Acerbi","Serie A","Serie A","9.45","18-19"
"Odsonne Edouard","Ligue 1","Premiership","9.27","18-19"
"Djaniny","Liga MX Clausura","Professional League","9.22","18-19"
"Jordan Amavi","Championship","Ligue 1","9","18-19"
"Danilo","Liga NOS","Ligue 1","9","18-19"
"Omar Mascarell","LaLiga","Bundesliga","9","18-19"
"Bernardo","Bundesliga","Premier League","9","18-19"
"Borja Iglesias","LaLiga","LaLiga","9","18-19"
"Antonio Barreca","Serie A","Ligue 1","9","18-19"
"Nemanja Maksimovic","LaLiga","LaLiga","9","18-19"
"Santiago Cáseres","Superliga","LaLiga","9","18-19"
"Adama Diakhaby","Ligue 1","Premier League","9","18-19"
"Alphonso Davies","MLS","Bundesliga","9","18-19"
"Myziane Maolida","Ligue 1","Ligue 1","9","18-19"
"Vicente Iborra","Premier League","LaLiga","9","18-19"
"Aleksandar Prijovic","Super League","Professional League","9","18-19"
"Yaroslav Rakitskiy","UPL","UPL","9","18-19"
"Nicolae Stanciu","Fortuna Liga Championship Group","Professional League","9","18-19"
"Germán Pezzella","LaLiga","Serie A","8.78","18-19"
"Gabriel","LaLiga","Liga NOS","8.64","18-19"
"Bryan Cristante","Liga NOS","Serie A","8.55","18-19"
"Davide Santon","Serie A","Serie A","8.55","18-19"
"Aleix Vidal","LaLiga","LaLiga","8.37","18-19"
"Cesc Fàbregas","Premier League","Ligue 1","8.1","18-19"
"Fedor Smolov","Premier Liga","Premier Liga","8.1","18-19"
"Pablo Maffeo","Premier League","Bundesliga","8.1","18-19"
"Ramiro Funes Mori","Premier League","LaLiga","8.1","18-19"
"Riccardo Saponara","Serie A","Serie A","8.1","18-19"
"Jordan Siebatcheu","Ligue 1","Ligue 1","8.1","18-19"
"Lukasz Skorupski","Serie A","Serie A","8.1","18-19"
"Antonino La Gumina","Serie B","Serie A","8.1","18-19"
"Robin Olsen","Superligaen Championship round","Serie A","8.1","18-19"
"Neymar","LaLiga","Ligue 1","199.8","17-18"
"Philippe Coutinho","Premier League","LaLiga","130.5","17-18"
"Ousmane Dembélé","Bundesliga","LaLiga","117","17-18"
"Romelu Lukaku","Premier League","Premier League","76.23","17-18"
"Virgil van Dijk","Premier League","Premier League","76.19","17-18"
"Álvaro Morata","LaLiga","Premier League","59.4","17-18"
"Aymeric Laporte","LaLiga","Premier League","58.5","17-18"
"Pierre-Emerick Aubameyang","Bundesliga","Premier League","57.38","17-18"
"Diego Costa","Premier League","LaLiga","54","17-18"
"Benjamin Mendy","Ligue 1","Premier League","51.75","17-18"
"Alexandre Lacazette","Ligue 1","Premier League","47.7","17-18"
"Kyle Walker","Premier League","Premier League","47.43","17-18"
"Bernardo Silva","Ligue 1","Premier League","45","17-18"
"Gylfi Sigurdsson","Premier League","Premier League","44.46","17-18"
"Nemanja Matic","Premier League","Premier League","40.23","17-18"
"Leonardo Bonucci","Serie A","Serie A","37.8","17-18"
"Mohamed Salah","Serie A","Premier League","37.8","17-18"
"Davinson Sánchez","Eredivisie","Premier League","37.8","17-18"
"Corentin Tolisso","Ligue 1","Bundesliga","37.35","17-18"
"Ederson","Liga NOS","Premier League","36","17-18"
"Tiemoué Bakayoko","Ligue 1","Premier League","36","17-18"
"Federico Bernardeschi","Serie A","Serie A","36","17-18"
"Paulinho","Super League","LaLiga","36","17-18"
"Cédric Bakambu","LaLiga","Super League","36","17-18"
"André Silva","Liga NOS","Serie A","34.2","17-18"
"Alex Oxlade-Chamberlain","Premier League","Premier League","34.2","17-18"
"Danny Drinkwater","Premier League","Premier League","34.11","17-18"
"Nélson Semedo","Liga NOS","LaLiga","32.13","17-18"
"Vitolo","LaLiga","LaLiga","32.04","17-18"
"Antonio Rüdiger","Serie A","Premier League","31.5","17-18"
"Victor Lindelöf","Liga NOS","Premier League","31.5","17-18"
"Alexis Sánchez","Premier League","Premier League","30.6","17-18"
"Henrikh Mkhitaryan","Premier League","Premier League","30.6","17-18"
"Milan Skriniar","Serie A","Serie A","30.6","17-18"
"Iñigo Martínez","LaLiga","LaLiga","28.8","17-18"
"Alessandro Bastoni","Serie A","Serie A","27.99","17-18"
"Yannick Carrasco","LaLiga","Super League","27","17-18"
"Keita Baldé","Serie A","Ligue 1","27","17-18"
"Danilo","LaLiga","Premier League","27","17-18"
"Jordan Pickford","Championship","Premier League","25.65","17-18"
"Michael Keane","Premier League","Premier League","25.65","17-18"
"Lucas Moura","Ligue 1","Premier League","25.56","17-18"
"Mamadou Sakho","Premier League","Premier League","25.38","17-18"
"Kelechi Iheanacho","Premier League","Premier League","24.93","17-18"
"Davy Klaassen","Eredivisie","Premier League","24.3","17-18"
"Blaise Matuidi","Ligue 1","Serie A","22.5","17-18"
"Youri Tielemans","Jupiler Pro League","Ligue 1","22.5","17-18"
"Andriy Yarmolenko","UPL","Bundesliga","22.5","17-18"
"Serge Aurier","Ligue 1","Premier League","22.5","17-18"
"Davide Zappacosta","Serie A","Premier League","22.5","17-18"
"Adrien Silva","Liga NOS","Premier League","22.5","17-18"
"Luis Muriel","Serie A","LaLiga","22.05","17-18"
"Theo Hernández","LaLiga","LaLiga","21.6","17-18"
"Andrea Conti","Serie A","Serie A","21.6","17-18"
"Matías Vecino","Serie A","Serie A","21.6","17-18"
"Lucas Alario","Superliga","Bundesliga","21.6","17-18"
"Hakan Calhanoglu","Bundesliga","Serie A","20.97","17-18"
"Leandro Paredes","Serie A","Premier Liga","20.7","17-18"
"Nathan Aké","Premier League","Premier League","20.52","17-18"
"André Ayew","Premier League","Premier League","20.52","17-18"
"Cenk Tosun","Süper Lig","Premier League","20.25","17-18"
"Theo Walcott","Premier League","Premier League","20.25","17-18"
"Marko Arnautovic","Premier League","Premier League","20.07","17-18"
"Guido Carrillo","Ligue 1","Premier League","19.8","17-18"
"Manuel Akanji","SSL","Bundesliga","19.35","17-18"
"Nikola Maksimovic","Serie A","Serie A","18.9","17-18"
"Kingsley Coman","Serie A","Bundesliga","18.9","17-18"
"Dalbert","Ligue 1","Serie A","18.9","17-18"
"Pietro Pellegri","Serie A","Ligue 1","18.81","17-18"
"Roberto Gagliardini","Serie A","Serie A","18.45","17-18"
"Andre Gray","Premier League","Premier League","18.36","17-18"
"Niklas Süle","Bundesliga","Bundesliga","18","17-18"
"Juan Cuadrado","Premier League","Serie A","18","17-18"
"Óliver Torres","LaLiga","Liga NOS","18","17-18"
"Maximilian Philipp","Bundesliga","Bundesliga","18","17-18"
"Kevin Kampl","Bundesliga","Bundesliga","18","17-18"
"Emerson","Serie A","Premier League","18","17-18"
"Lucas Biglia","Serie A","Serie A","17.73","17-18"
"Kevin Wimmer","Premier League","Premier League","17.46","17-18"
"Nabil Bentaleb","Premier League","Bundesliga","17.1","17-18"
"Mateo Musacchio","LaLiga","Serie A","16.2","17-18"
"Rúben Neves","Liga NOS","Championship","16.11","17-18"
"Chicharito","Bundesliga","Premier League","16.02","17-18"
"Panagiotis Retsos","GSL","Bundesliga","15.75","17-18"
"Mario Lemina","Serie A","Premier League","15.53","17-18"
"Britt Assombalonga","Championship","Championship","15.39","17-18"
"Olivier Giroud","Premier League","Premier League","15.3","17-18"
"John Anthony Brooks","Bundesliga","Bundesliga","15.3","17-18"
"Jhon Córdoba","Bundesliga","Bundesliga","15.3","17-18"
"Matthias Ginter","Bundesliga","Bundesliga","15.3","17-18"
"Ismaïla Sarr","Ligue 1","Ligue 1","15.3","17-18"
"Giovanni Simeone","Serie A","Serie A","15.3","17-18"
"Jürgen Locadia","Eredivisie","Premier League","15.3","17-18"
"Ross Barkley","Premier League","Premier League","15.12","17-18"
"Medhi Benatia","Bundesliga","Serie A","15.03","17-18"
"Dani Ceballos","LaLiga","LaLiga","14.85","17-18"
"Chris Wood","Championship","Premier League","14.76","17-18"
"Sam Clucas","Championship","Premier League","14.67","17-18"
"Simone Zaza","Serie A","LaLiga","14.4","17-18"
"Rick Karsdorp","Eredivisie","Serie A","14.4","17-18"
"Jean-Kévin Augustin","Ligue 1","Bundesliga","14.4","17-18"
"Yuri Berchiche","LaLiga","Ligue 1","14.4","17-18"
"Emanuel Mammana","Ligue 1","Premier Liga","14.4","17-18"
"Wesley Hoedt","Serie A","Premier League","14.4","17-18"
"Badou Ndiaye","Süper Lig","Premier League","14.4","17-18"
"Oliver Burke","Bundesliga","Premier League","13.68","17-18"
"Fernando Llorente","Premier League","Premier League","13.59","17-18"
"Ricardo Rodríguez","Bundesliga","Serie A","13.5","17-18"
"Bruma","Süper Lig","Bundesliga","13.5","17-18"
"Gianluca Caprari","Serie A","Serie A","13.5","17-18"
"Terence Kongolo","Eredivisie","Ligue 1","13.5","17-18"
"Vicente Iborra","LaLiga","Premier League","13.5","17-18"
"Sebastián Driussi","Superliga","Premier Liga","13.5","17-18"
"José Izquierdo","Jupiler Pro League","Premier League","13.5","17-18"
"Konstantinos Mitroglou","Liga NOS","Ligue 1","13.5","17-18"
"Cengiz Ünder","Süper Lig","Serie A","12.83","17-18"
"Wojciech Szczesny","Premier League","Serie A","12.6","17-18"
"Enes Ünal","Premier League","LaLiga","12.6","17-18"
"Rúben Semedo","Liga NOS","LaLiga","12.6","17-18"
"Thiago Maia","Série A","Ligue 1","12.6","17-18"
"Francis Coquelin","Premier League","LaLiga","12.6","17-18"
"Ignacio Camacho","LaLiga","Bundesliga","12.6","17-18"
"Harry Maguire","Championship","Premier League","12.33","17-18"
"Jay Rodríguez","Premier League","Premier League","12.33","17-18"
"Marko Rog","1.HNL","Serie A","12.15","17-18"
"Marten de Roon","Championship","Serie A","12.15","17-18"
"Wilfried Bony","Premier League","Premier League","11.7","17-18"
"Steve Mounié","Ligue 1","Premier League","11.7","17-18"
"Davy Pröpper","Eredivisie","Premier League","11.7","17-18"
"Emre Mor","Bundesliga","LaLiga","11.7","17-18"
"Juan Foyth","Superliga","Premier League","11.7","17-18"
"Sandro Wagner","Bundesliga","Bundesliga","11.7","17-18"
"Rodrigo Bentancur","Superliga","Serie A","11.25","17-18"
"Yevgen Konoplyanka","LaLiga","Bundesliga","11.25","17-18"
"Hirving Lozano","Liga MX Clausura","Eredivisie","11.25","17-18"
"Bruno Peres","Serie A","Serie A","11.25","17-18"
"Roque Mesa","LaLiga","Premier League","11.25","17-18"
"Mario Hermoso","2ª B - Grupo I","LaLiga","11.25","17-18"
"Sven Bender","Bundesliga","Bundesliga","11.25","17-18"
"Simon Kjaer","Süper Lig","LaLiga","11.25","17-18"
"Richarlison","Série A","Premier League","11.16","17-18"
"Alex Pritchard","Championship","Premier League","11.12","17-18"
"Ezequiel Barco","Superliga","MLS","11.05","17-18"
"Ömer Toprak","Bundesliga","Bundesliga","10.8","17-18"
"Mahmoud Dahoud","Bundesliga","Bundesliga","10.8","17-18"
"Adrián Ramos","Bundesliga","Super League","10.8","17-18"
"Denis Zakaria","SSL","Bundesliga","10.8","17-18"
"Gerard Deulofeu","Premier League","LaLiga","10.8","17-18"
"Adam Ounas","Ligue 1","Serie A","10.8","17-18"
"Douglas Luiz","Série A","Premier League","10.8","17-18"
"Mattia De Sciglio","Serie A","Serie A","10.8","17-18"
"Pablo Fornals","LaLiga","LaLiga","10.8","17-18"
"Marco Benassi","Serie A","Serie A","10.8","17-18"
"Pedro Rocha","Série A","Premier Liga","10.8","17-18"
"Roberto Inglese","Serie A","Serie A","10.8","17-18"
"Yerry Mina","Série A","LaLiga","10.62","17-18"
"Jordan Rhodes","Championship","Championship","10.53","17-18"
"Asmir Begovic","Premier League","Premier League","10.35","17-18"
"Landry Dimata","Jupiler Pro League","Bundesliga","10.35","17-18"
"Lucas Pratto","Série A","Superliga","10.35","17-18"
"Martin Braithwaite","Ligue 1","Championship","10.17","17-18"
"Jacob Murphy","Championship","Premier League","10.17","17-18"
"Florian Thauvin","Premier League","Ligue 1","9.9","17-18"
"Gabriel Paulista","Premier League","LaLiga","9.9","17-18"
"Martin Terrier","Ligue 1","Ligue 1","9.9","17-18"
"Guilherme Arana","Série A","LaLiga","9.9","17-18"
"Jô","Série A","J1 League","9.9","17-18"
"Jonathan Viera","LaLiga","Super League","9.9","17-18"
"Diego Llorente","LaLiga","LaLiga","9.9","17-18"
"Nikola Vlasic","1.HNL","Premier League","9.72","17-18"
"Marc Bartra","Bundesliga","LaLiga","9.45","17-18"
"Luiz Araújo","Série A","Ligue 1","9.45","17-18"
"Stevan Jovetic","Serie A","Ligue 1","9.45","17-18"
"Jordan Hugill","Championship","Premier League","9.18","17-18"
"Lorenzo Pellegrini","Serie A","Serie A","9","17-18"
"Luiz Gustavo","Bundesliga","Ligue 1","9","17-18"
"Nicolas Pépé","Ligue 1","Ligue 1","9","17-18"
"Bertrand Traoré","Premier League","Ligue 1","9","17-18"
"Younès Belhanda","UPL","Süper Lig","9","17-18"
"Florian Lejeune","LaLiga","Premier League","9","17-18"
"Loïs Diony","Ligue 1","Ligue 1","9","17-18"
"Adama Diakhaby","Ligue 1","Ligue 1","9","17-18"
"Allan Saint-Maximin","Ligue 1","Ligue 1","9","17-18"
"Pape Cheikh","LaLiga","Ligue 1","9","17-18"
"Maximiliano Romero","Superliga","Eredivisie","9","17-18"
"Diafra Sakho","Premier League","Ligue 1","9","17-18"
"Leonardo Pavoletti","Serie A","Serie A","8.82","17-18"
"Bruno Fernandes","Serie A","Liga NOS","8.73","17-18"
"Marcos Acuña","Superliga","Liga NOS","8.63","17-18"
"Facundo Colidio","Argentina","Primavera 1","8.55","17-18"
"Tom Cleverley","Premier League","Premier League","8.37","17-18"
"Will Hughes","Championship","Premier League","8.19","17-18"
"Aaron Mooy","Premier League","Premier League","8.19","17-18"
"Tom Ince","Championship","Premier League","8.19","17-18"
"Jack Cork","Premier League","Premier League","8.19","17-18"
